State,County,Date Confirmed,Flock Type,Flock Size
Indiana,Dubois ,2/8/2022,Commercial Turkeys,"29,015"
Virginia,Fauquier,2/12/2022,Backyard Mixed Species (non-poultry),90
Kentucky,Fulton,2/12/2022,Commercial Broiler Chickens,"231,398"
Indiana,Dubois,2/16/2022,Commercial Turkeys,"26,625"
Kentucky,Webster,2/15/2022,Commercial Turkeys,"53,286"
New York,Suffolk,2/18/2022,Backyard Pet Chickens (non-poultry),8
Maine,Knox,2/19/2022,Backyard Mixed Species (non-poultry),27
Delaware,New Castle,2/22/2022,Commercial Poultry,"1,146,937"
Michigan,Kalamazoo,2/23/2022,Backyard Mixed Species (non-poultry),43
Maine,Knox,2/23/2022,Backyard Pet Chickens (non-poultry),96
Indiana,Greene,2/23/2022,Commercial Turkeys,"48,211"
Indiana,Greene,2/23/2022,Commercial Turkeys,"15,400"
New York,Dutchess,2/24/2022,Captive Wild Birds (non-poultry),195
New York,Ulster,2/24/2022,Backyard Mixed Species (non-poultry),65
Indiana,Dubois,2/24/2022,Commercial Turkeys,"35,988"
Connecticut,New London,3/1/2022,Backyard Mixed Species (non-poultry),155
Iowa,Pottawattamie,3/1/2022,Backyard Mixed Species (non-poultry),42
Indiana,Dubois,3/2/2022,Commercial Turkeys,"16,494"
Missouri,Bates,3/4/2022,Backyard Mixed Species (non-poultry),51
Missouri,Stoddard,3/4/2022,Commercial Broiler Chickens,"294,818"
Maryland,Cecil,3/4/2022,Commercial Layer Chickens,"496,272"
South Dakota,Charles Mix,3/5/2022,Commercial Mixed Species,"44,123"
Iowa,Buena Vista,3/6/2022,Commercial Turkeys,"49,816"
Delaware,New Castle,3/8/2022,Commercial Pullet Chickens,"265,000"
Maryland,Queen Anne's,3/8/2022,Commercial Broiler Chickens,"139,327"
Missouri,Jasper,3/8/2022,Commercial Turkeys,"25,015"
Missouri,Lawrence,3/9/2022,Commercial Turkeys,"37,770"
Maryland,Cecil,3/10/2022,Commercial Layer Chickens,"664,061"
Iowa,Taylor,3/10/2022,Commercial Layer Chickens,"915,925"
Kansas,Franklin,3/11/2022,Backyard Mixed Species (poultry),264
Illinois,McLean,3/11/2022,Backyard Mixed Species (non-poultry),35
Maine,Lincoln,3/12/2022,Backyard Mixed Species (non-poultry),98
South Dakota,Charles Mix,3/12/2022,Commercial Turkeys,"37,485"
Wisconsin,Jefferson,3/14/2022,Commercial Layer Chickens,"2,757,768"
Maine,York,3/14/2022,Backyard Mixed Species (non-poultry),173
Missouri,Ralls,3/15/2022,Backyard Mixed Species (non-poultry),104
Nebraska,Merrick,3/15/2022,Backyard Mixed Species (non-poultry),90
New Hampshire,Rockingham,3/17/2022,Backyard Mixed Species (non-poultry),80
Delaware,Kent,3/17/2022,Commercial Broiler Chickens,"147,753"
Kansas,Sedgwick,3/17/2022,Backyard Mixed Species (non-poultry),6
Maine,Lincoln,3/17/2022,Backyard Mixed Species (non-poultry),29
Iowa,Buena Vista,3/17/2022,Commercial Layer Chickens,"5,347,511"
South Dakota,Kingsbury,3/18/2022,Commercial Turkeys,"39,157"
South Dakota,Hanson,3/18/2022,Commercial Turkeys,"20,233"
Maryland,Cecil,3/18/2022,Commercial Pullet Chickens,"315,000"
Kansas,Dickinson,3/18/2022,Backyard Mixed Species (poultry),245
Maine,York,3/19/2022,Backyard Mixed Species (non-poultry),65
Maine,Knox,3/19/2022,Backyard Mixed Species (non-poultry),19
South Dakota,Hutchinson,3/20/2022,Commercial Turkeys,"50,350"
Iowa,Warren,3/20/2022,Backyard Mixed Species (non-poultry),5
Nebraska,Butler,3/22/2022,Commercial Broiler Chickens,"570,000"
South Dakota,Beadle,3/22/2022,Commercial Turkeys,"29,473"
South Dakota,Hanson,3/22/2022,Commercial Turkeys,"94,585"
South Dakota,Charles Mix,3/22/2022,Commercial Turkeys,"57,100"
Maine,Cumberland,3/22/2022,Backyard Mixed Species (poultry),247
South Dakota,Edmunds,3/23/2022,Commercial Turkeys,"30,756"
South Dakota,Kingsbury,3/23/2022,Commercial Layer Chickens,"121,193"
South Dakota,Beadle,3/23/2022,Commercial Turkeys,"49,892"
New York,Suffolk,3/23/2022,Commercial Upland Game Producer,"6,000"
